Sample Number,PolicyStartDate,Excess,AMI_monthly_premium,AMI_yearly_premium,AMI_Error_code,AMI_selected_address
100001,2024-04-08,500,-1,-1,No Error,
100002,2024-04-08,500,-1,-1,No Error,
100003,2024-04-08,500,-1,-1,No Error,
100004,2024-04-08,500,-1,-1,No Error,
100005,2024-04-08,500,-1,-1,"Webiste Does Not Quote For This House/ Person, Not allowing any business use","9 Macmurray Road, Remuera, Auckland, 1050"
100006,2024-04-08,500,-1,-1,"Webiste Does Not Quote For This House/ Person, Issue With Occupancy Column",
100007,2024-04-08,500,-1,-1,"Webiste Does Not Quote For This House/ Person, Issue With BusinessUser Column",
100008,2024-04-08,500,-1,-1,"Webiste Does Not Quote For This House/ Person, Issue With BusinessUser Column",
100009,2024-04-08,500,-1,-1,"Webiste Does Not Quote For This House/ Person, Issue With BusinessUser Column",
100010,2024-04-08,500,-1,-1,Invalid Input Data Error: BusinessUser column,
100011,2024-04-08,500,-1,-1,Invalid Input Data Error: BusinessUser column,
100012,2024-04-08,500,-1,-1,Invalid Input Data Error: BusinessUser column,
100013,2024-04-08,500,-1,-1,Invalid Input Data Error: BusinessUser column,
100014,2024-04-08,500,-1,-1,Invalid Input Data Error: BusinessUser column,
100015,2024-04-08,500,-1,-1,Invalid Input Data Error: BusinessUser column,
100016,2024-04-08,500,-1,-1,Invalid Input Data Error: BusinessUser column,
100017,2024-04-08,500,-1,-1,Invalid Input Data Error: BusinessUser column,
100018,2024-04-08,500,-1,-1,Invalid Input Data Error: BusinessUser column,
100019,2024-04-08,500,-1,-1,Invalid Input Data Error: BusinessUser column,
100020,2024-04-08,500,-1,-1,Invalid Input Data Error: BusinessUser column,
100021,2024-04-08,500,-1,-1,Invalid Input Data Error: BusinessUser column,
100022,2024-04-08,500,-1,-1,Invalid Input Data Error: BusinessUser column,
100023,2024-04-08,500,-1,-1,Invalid Input Data Error: BusinessUser column,
100024,2024-04-08,500,-1,-1,Invalid Input Data Error: BusinessUser column,
100025,2024-04-08,500,-1,-1,Invalid Input Data Error: BusinessUser column,
100026,2024-04-08,500,-1,-1,Invalid Input Data Error: BusinessUser column,
100027,2024-04-08,500,-1,-1,Invalid Input Data Error: BusinessUser column,
100028,2024-04-08,500,-1,-1,Invalid Input Data Error: BusinessUser column,
100029,2024-04-08,500,-1,-1,Invalid Input Data Error: BusinessUser column,
100030,2024-04-08,500,-1,-1,Invalid Input Data Error: BusinessUser column,
100031,2024-04-08,500,-1,-1,Invalid Input Data Error: BusinessUser column,
100032,2024-04-08,500,-1,-1,Invalid Input Data Error: BusinessUser column,
100033,2024-04-08,500,-1,-1,Invalid Input Data Error: BusinessUser column,
100034,2024-04-08,500,-1,-1,Invalid Input Data Error: BusinessUser column,
100035,2024-04-08,500,-1,-1,Invalid Input Data Error: BusinessUser column,
100036,2024-04-08,500,-1,-1,Invalid Input Data Error: BusinessUser column,
100037,2024-04-08,500,-1,-1,Invalid Input Data Error: BusinessUser column,
100038,2024-04-08,500,-1,-1,Invalid Input Data Error: BusinessUser column,
100039,2024-04-08,500,-1,-1,Invalid Input Data Error: BusinessUser column,
100040,2024-04-08,500,-1,-1,Invalid Input Data Error: BusinessUser column,
100041,2024-04-08,500,-1,-1,Invalid Input Data Error: BusinessUser column,
100042,2024-04-08,500,-1,-1,Invalid Input Data Error: BusinessUser column,
100043,2024-04-08,500,-1,-1,Invalid Input Data Error: BusinessUser column,
100044,2024-04-08,500,-1,-1,"Webiste Does Not Quote For This House/ Person, Issue With AMICurrentRenovations Column",
100045,2024-04-08,500,-1,-1,Invalid Input Data Error: BusinessUser column,
100046,2024-04-08,500,-1,-1,Invalid Input Data Error: BusinessUser column,
100047,2024-04-08,500,-1,-1,Invalid Input Data Error: BusinessUser column,
100048,2024-04-08,500,-1,-1,Invalid Input Data Error: BusinessUser column,
100049,2024-04-08,500,-1,-1,Invalid Input Data Error: BusinessUser column,
100050,2024-04-08,500,-1,-1,"Webiste Does Not Quote For This House/ Person, Issue With AMICurrentRenovations Column",
100051,2024-04-08,500,-1,-1,Invalid Input Data Error: BusinessUser column,
100052,2024-04-08,500,-1,-1,Invalid Input Data Error: BusinessUser column,
100053,2024-04-08,500,-1,-1,Invalid Input Data Error: BusinessUser column,
100054,2024-04-08,500,-1,-1,Invalid Input Data Error: BusinessUser column,
100055,2024-04-08,500,-1,-1,Invalid Input Data Error: BusinessUser column,
100056,2024-04-08,500,-1,-1,Invalid Input Data Error: BusinessUser column,
100057,2024-04-08,500,-1,-1,Invalid Input Data Error: BusinessUser column,
100058,2024-04-08,500,-1,-1,Invalid Input Data Error: BusinessUser column,
100059,2024-04-08,500,-1,-1,Invalid Input Data Error: BusinessUser column,
100060,2024-04-08,500,-1,-1,Invalid Input Data Error: BusinessUser column,
