Sample Number,PolicyStartDate,AgreedValue,Tower_agreed_value,Tower_monthly_premium,Tower_yearly_premium,Tower_agreed_value_was_adjusted
10001,14/02/2024,3020,3020,64.96,704.09,0
10002,14/02/2024,5480,5480,76.72,832.29,0
10003,14/02/2024,5400,5400,132.17,1437.2,0
10004,14/02/2024,19340,19340,145.88,1586.77,0
10005,14/02/2024,8855,8855,102.3,1111.38,0
10006,14/02/2024,3200,3200,102.49,1113.42,0
10007,14/02/2024,45000,45000,-1,-1,0
10008,14/02/2024,8700,8700,81.1,879.8,0
10009,14/02/2024,84965,84965,860.22,9379.64,0
10010,14/02/2024,14900,14900,120.88,1314.02,0
