Sample Number,PolicyStartDate,Excess,AA_monthly_premium,AA_yearly_premium,AA_Error_code,AA_selected_address,AA_estimated_replacement_cost
10001,2024-04-08,500,-1,-1,"Webiste Does Not Quote For This House/ Person, Issue With ConstructionType Column",,-1
10002,2024-04-08,501,-1,-1,'numpy.int64' object has no attribute 'upper',,-1
10003,2024-04-08,502,-1,-1,"Webiste Does Not Quote For This House/ Person, Issue With BusinessUser Column",,-1
10004,2024-04-08,503,-1,-1,'int' object has no attribute 'upper',,-1
10005,2024-04-08,504,-1,-1,'int' object has no attribute 'upper',,-1
10006,2024-04-08,505,-1,-1,'int' object has no attribute 'upper',,-1
10338,2024-04-08,506,-1,-1,'numpy.int64' object has no attribute 'upper',,-1
10008,2024-04-08,507,-1,-1,"Webiste Does Not Quote For This House/ Person, Issue With RoofType Column",,-1
10009,2024-04-08,508,-1,-1,"Webiste Does Not Quote For This House/ Person, Issue With ConstructionType Column",,-1
10010,2024-04-08,509,-1,-1,'numpy.int64' object has no attribute 'upper',,-1
10579,2024-04-08,510,-1,-1,"Webiste Does Not Quote For This House/ Person, Issue With BuildingType Column",,-1
10012,2024-04-08,511,-1,-1,'int' object has no attribute 'upper',,-1
10923,2024-04-08,512,-1,-1,'numpy.int64' object has no attribute 'upper',,-1
10014,2024-04-08,513,-1,-1,"Webiste Does Not Quote For This House/ Person, Issue With RoofType Column",,-1
10015,2024-04-08,514,-1,-1,"Webiste Does Not Quote For This House/ Person, Issue With ConstructionType Column",,-1
10016,2024-04-08,515,-1,-1,"Webiste Does Not Quote For This House/ Person, Issue With ConstructionType Column",,-1
10017,2024-04-08,516,-1,-1,'numpy.int64' object has no attribute 'upper',,-1
10018,2024-04-08,517,-1,-1,'numpy.int64' object has no attribute 'upper',,-1
11860,2024-04-08,518,-1,-1,'numpy.int64' object has no attribute 'upper',,-1
10020,2024-04-08,519,-1,-1,'numpy.int64' object has no attribute 'upper',,-1
10021,2024-04-08,520,-1,-1,'numpy.int64' object has no attribute 'upper',,-1
10022,2024-04-08,521,-1,-1,"Webiste Does Not Quote For This House/ Person, Issue With ConstructionType Column",,-1
11090,2024-04-08,522,-1,-1,"Webiste Does Not Quote For This House/ Person, Issue With BusinessUser Column",,-1
10024,2024-04-08,523,-1,-1,"Webiste Does Not Quote For This House/ Person, Issue With BusinessUser Column",,-1
10025,2024-04-08,524,-1,-1,'numpy.int64' object has no attribute 'upper',,-1
10026,2024-04-08,525,-1,-1,'numpy.int64' object has no attribute 'upper',,-1
10027,2024-04-08,526,-1,-1,'numpy.int64' object has no attribute 'upper',,-1
10028,2024-04-08,527,-1,-1,"Webiste Does Not Quote For This House/ Person, Issue With ConstructionType Column",,-1
10200,2024-04-08,528,-1,-1,'numpy.int64' object has no attribute 'upper',,-1
10030,2024-04-08,529,-1,-1,'int' object has no attribute 'upper',,-1
10031,2024-04-08,530,-1,-1,"Webiste Does Not Quote For This House/ Person, Issue With ConstructionType Column",,-1
10032,2024-04-08,531,-1,-1,"Webiste Does Not Quote For This House/ Person, Issue With BusinessUser Column",,-1
10834,2024-04-08,532,-1,-1,"Webiste Does Not Quote For This House/ Person, Issue With ConstructionType Column",,-1
10034,2024-04-08,533,-1,-1,"Webiste Does Not Quote For This House/ Person, Issue With RoofType Column",,-1
11427,2024-04-08,534,-1,-1,'numpy.int64' object has no attribute 'upper',,-1
10535,2024-04-08,535,-1,-1,'numpy.int64' object has no attribute 'upper',,-1
10037,2024-04-08,536,-1,-1,"Webiste Does Not Quote For This House/ Person, Issue With BusinessUser Column",,-1
11466,2024-04-08,537,-1,-1,'numpy.int64' object has no attribute 'upper',,-1
10669,2024-04-08,538,-1,-1,'numpy.int64' object has no attribute 'upper',,-1
10613,2024-04-08,539,-1,-1,'numpy.int64' object has no attribute 'upper',,-1
10041,2024-04-08,540,-1,-1,"Webiste Does Not Quote For This House/ Person, Issue With ConstructionType Column",,-1
10042,2024-04-08,541,-1,-1,"Webiste Does Not Quote For This House/ Person, Issue With RoofType Column",,-1
10043,2024-04-08,542,-1,-1,'numpy.int64' object has no attribute 'upper',,-1
10044,2024-04-08,543,-1,-1,'numpy.int64' object has no attribute 'upper',,-1
10045,2024-04-08,544,-1,-1,'numpy.int64' object has no attribute 'upper',,-1
10046,2024-04-08,545,-1,-1,'int' object has no attribute 'upper',,-1
10007,2024-04-08,546,-1,-1,'int' object has no attribute 'upper',,-1
10048,2024-04-08,547,-1,-1,'numpy.int64' object has no attribute 'upper',,-1
10049,2024-04-08,548,-1,-1,'int' object has no attribute 'upper',,-1
10050,2024-04-08,549,-1,-1,'numpy.int64' object has no attribute 'upper',,-1
10051,2024-04-08,550,-1,-1,"Webiste Does Not Quote For This House/ Person, Issue With RoofType Column",,-1
10052,2024-04-08,551,-1,-1,'numpy.int64' object has no attribute 'upper',,-1
11544,2024-04-08,552,-1,-1,"Webiste Does Not Quote For This House/ Person, Issue With ConstructionType Column",,-1
10336,2024-04-08,553,-1,-1,'numpy.int64' object has no attribute 'upper',,-1
10055,2024-04-08,554,-1,-1,'int' object has no attribute 'upper',,-1
10036,2024-04-08,555,-1,-1,"Webiste Does Not Quote For This House/ Person, Issue With BusinessUser Column",,-1
10057,2024-04-08,556,-1,-1,'numpy.int64' object has no attribute 'upper',,-1
10058,2024-04-08,557,-1,-1,'numpy.int64' object has no attribute 'upper',,-1
11547,2024-04-08,558,-1,-1,"Webiste Does Not Quote For This House/ Person, Issue With BusinessUser Column",,-1
11167,2024-04-08,559,-1,-1,'numpy.int64' object has no attribute 'upper',,-1
10061,2024-04-08,560,-1,-1,"Webiste Does Not Quote For This House/ Person, Issue With ConstructionType Column",,-1
10062,2024-04-08,561,-1,-1,"Webiste Does Not Quote For This House/ Person, Issue With BusinessUser Column",,-1
10063,2024-04-08,562,-1,-1,'numpy.int64' object has no attribute 'upper',,-1
11267,2024-04-08,563,-1,-1,'numpy.int64' object has no attribute 'upper',,-1
10065,2024-04-08,564,-1,-1,"Webiste Does Not Quote For This House/ Person, Issue With ConstructionType Column",,-1
10958,2024-04-08,565,-1,-1,'numpy.int64' object has no attribute 'upper',,-1
11292,2024-04-08,566,-1,-1,"Webiste Does Not Quote For This House/ Person, Issue With ConstructionType Column",,-1
11421,2024-04-08,567,-1,-1,"Webiste Does Not Quote For This House/ Person, Issue With ConstructionType Column",,-1
11431,2024-04-08,568,-1,-1,"Webiste Does Not Quote For This House/ Person, Issue With BusinessUser Column",,-1
10070,2024-04-08,569,-1,-1,'numpy.int64' object has no attribute 'upper',,-1
10071,2024-04-08,570,-1,-1,'numpy.int64' object has no attribute 'upper',,-1
10072,2024-04-08,571,-1,-1,'numpy.int64' object has no attribute 'upper',,-1
10073,2024-04-08,572,-1,-1,'numpy.int64' object has no attribute 'upper',,-1
10074,2024-04-08,573,-1,-1,'numpy.int64' object has no attribute 'upper',,-1
10075,2024-04-08,574,-1,-1,"Webiste Does Not Quote For This House/ Person, Issue With ConstructionType Column",,-1
10076,2024-04-08,575,-1,-1,'numpy.int64' object has no attribute 'upper',,-1
10064,2024-04-08,576,-1,-1,'numpy.int64' object has no attribute 'upper',,-1
