Sample Number,PolicyStartDate,Excess,AMI_monthly_premium,AMI_yearly_premium,AMI_Error_code,AMI_selected_address
10001,2024-04-22,500,-1,-1,Invalid Input Data Error: ConstructionType Column,
10002,2024-04-22,500,-1,-1,Invalid Input Data Error: ConstructionType Column,
10003,2024-04-22,500,-1,-1,Invalid Input Data Error: ConstructionType Column,
10004,2024-04-22,500,-1,-1,Invalid Input Data Error: ConstructionType Column,
10005,2024-04-22,500,-1,-1,"Webiste Does Not Quote For This House/ Person, Issue With BusinessUser Column",
10006,2024-04-22,500,-1,-1,Invalid Input Data Error: ConstructionType Column,
10338,2024-04-22,500,-1,-1,Invalid Input Data Error: ConstructionType Column,
10008,2024-04-22,500,-1,-1,Invalid Input Data Error: ConstructionType Column,
10009,2024-04-22,500,-1,-1,"Webiste Does Not Quote For This House/ Person, Issue With AMICurrentRenovations Column",
10010,2024-04-22,500,-1,-1,Invalid Input Data Error: ConstructionType Column,
10579,2024-04-22,500,-1,-1,Invalid Input Data Error: ConstructionType Column,
10012,2024-04-22,500,-1,-1,Invalid Input Data Error: ConstructionType Column,
10923,2024-04-22,500,-1,-1,Invalid Input Data Error: ConstructionType Column,
10014,2024-04-22,500,-1,-1,Invalid Input Data Error: ConstructionType Column,
10015,2024-04-22,500,-1,-1,Invalid Input Data Error: ConstructionType Column,
10016,2024-04-22,500,-1,-1,Invalid Input Data Error: ConstructionType Column,
10017,2024-04-22,500,-1,-1,"Webiste Does Not Quote For This House/ Person, Issue With BusinessUser Column",
10018,2024-04-22,500,-1,-1,Invalid Input Data Error: ConstructionType Column,
11860,2024-04-22,500,-1,-1,Invalid Input Data Error: ConstructionType Column,
10020,2024-04-22,500,-1,-1,Invalid Input Data Error: ConstructionType Column,
10021,2024-04-22,500,-1,-1,Invalid Input Data Error: ConstructionType Column,
10022,2024-04-22,500,-1,-1,Invalid Input Data Error: ConstructionType Column,
11090,2024-04-22,500,-1,-1,Invalid Input Data Error: ConstructionType Column,
10024,2024-04-22,500,-1,-1,Invalid Input Data Error: ConstructionType Column,
10025,2024-04-22,500,-1,-1,Invalid Input Data Error: ConstructionType Column,
10026,2024-04-22,500,-1,-1,Invalid Input Data Error: ConstructionType Column,
